lat,lon,StatZone
32.813098,34.995322,633
32.813107,34.995477,633
32.813229,34.999005,633
32.811786,34.99954,634
32.809027,34.994866,613
32.806564,34.999243,631
32.807039,35.000604,631
32.804134,35.000396,642
