StatZone,Year,TotCrimCrime,TotBusiBurg,TotApartBurg,CarTheft,TotPropCrime,Thefts,BodyAssaults,SexualAssaults,Robbery
611,2013,25,0,9,5,62,10,19,2,0
612,2013,19,3,8,4,42,10,16,2,1
613,2013,48,5,22,9,101,22,21,2,3
621,2013,40,0,19,6,93,31,26,3,1
622,2013,8,0,4,1,30,12,10,0,2
623,2013,32,0,18,7,61,15,20,3,2
631,2013,43,2,30,6,149,59,33,7,9
632,2013,37,2,18,5,136,55,43,3,6
633,2013,36,8,9,8,343,214,81,4,11
634,2013,54,18,21,8,309,127,95,4,12
641,2013,44,6,29,4,173,70,75,1,7
642,2013,15,1,9,2,63,21,15,4,2
643,2013,11,0,8,1,44,22,5,0,1
644,2013,54,0,22,7,343,12,33,3,7
