StatZone,TotHaredim,TotNonHaredim,Total,PropoHaredim
621,93.0,2415.0,2508.0,0.037
622,1158.0,1541.0,2699.0,0.429
623,993.0,2254.0,3247.0,0.306
631,1189.0,2217.0,3406.0,0.349
634,104.0,1088.0,1192.0,0.087
641,1478.0,1301.0,2779.0,0.532
642,3820.0,839.0,4659.0,0.82
643,2256.0,135.0,2391.0,0.944
644,200.0,316.0,516.0,0.388
611,1012.0,898.0,1910.0,0.0
612,934.0,1034.0,1968.0,0.0
613,808.0,1037.0,1845.0,0.0
632,576.0,919.0,1495.0,0.0
633,691.0,602.0,1293.0,0.0
