,stat_zone_code,stat_zone_name
1,623,רמת הדר - רח' המיימוני
2,613,הדר מערב - רח' מסדה
3,633,הדר מרכז - בית העירייה
4,643,רמת ויז'ניץ
5,622,הדר עליון - רח' הפועל
6,632,הדר מרכז - רח' הרצליה
7,641,"הדר מזרח - רח' יל""ג"
8,621,"הדר עליון -בי""ח בני ציון"
9,631,הדר מרכז - התיאטרון העירוני
10,644,מעונות גאולה
11,612,גן הבהאים
12,611,הדר מערב - רח' אלמותנבי
13,642,הדר מזרח - גאולה
14,634,הדר מרכז - שוק תלפיות
