,StatZone,Street,HouseNum,Year,Month,Day,HostelName,HostelType
29988,633,אבן סינא,3,2021.0,3.0,,מרכז יום לאנשים עם התמכרויות,תקון
29989,612,בית שערים,8,2021.0,3.0,,שמע,חינוך / שיקום
29990,613,בן יהודה,16,2021.0,3.0,,ק.ט.ב,הוסטל
29991,621,בר גיורא,16,2021.0,3.0,,קידום - נוף הדרים,קהילה תומכת
29992,621,בר גיורא,3,2021.0,3.0,,קידום - נוף הדרים,הוסטל
29993,621,ברכה חבס,14,2021.0,3.0,,קהילה תומכת - שילה,שיקום
29994,634,דבורה,2,2021.0,3.0,,אנוש מועדון חברתי,מועדון חברתי / תעסוקה
29995,634,דבורה,2,2021.0,3.0,,יחידה להתמכרויות מבוגרים דרי רחוב שיקום האסיר,תקון
29996,634,דבורה,4,2021.0,3.0,,יחידה להתמכרויות נוער וצעירים,תקון
29997,612,הירוק,18,2021.0,3.0,,מרכז לנערות בסיכון חברה ערבית - אורות,תקון
29998,633,הנביאים,10,2021.0,3.0,,כוכב הצפון - עתיד חדש,הוסטל
29999,622,הפועל,16,2021.0,3.0,,ענבלים,הוסטל צעירים
30000,632,הרצליה,16,2021.0,3.0,,"מרחב הל""ב",תקון
30001,632,הרצליה,20,2021.0,3.0,,בית הדר - שלטר לדרי רחוב,תקון
30002,632,הרצליה,24,2021.0,3.0,,שלטר לצעירים,תקון
30003,641,"יל""ג",7,2021.0,3.0,,מרכז לטיפול ולמניעת אלימות במשפחה,משפחה
30004,631,ירושלים,24,2021.0,3.0,,עתיד חדש כוללני + מתוגבר,הוסטל
30005,633,כורי,2,2021.0,3.0,,בית אקשטיין - שרותי השמה,אוטיזם
30006,633,כורי,3,2021.0,3.0,,מרכז הורים ילידים גיל הרך - חברה ערבית,ילד ונוער
30007,632,לבונטין,19,2021.0,3.0,,דירת אקים,דירה בקהילה
30008,621,מונטיפיורי,15,2021.0,3.0,,בית שבתי לוי,פנימיה / מרכז חרום
30009,622,מונטיפיורי,19,2021.0,3.0,,מרכז הדת. הילד בני ציון,מעון יום לקשישים
30010,642,מיכאל,20,2021.0,3.0,,ישיבת חסידי גור,
30011,613,מסדה,26,2021.0,3.0,,אג'למען שרותי בריאות,קהילה טיפולית
30012,613,מסדה,6,2021.0,3.0,,אקים חיפה,הוסטל
30013,631,נורדאו,32,2021.0,3.0,,עתיד חדש דיור מוגן - בית קבוצתי,בית קבוצתי
30014,633,עתלית,3,2021.0,3.0,,מפעל מוגן- שווים,מפעל מוגן- שווים
